City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Tuatapere,32,NZ,1552233004,55,4.61,-46.13,167.69,88
Aykhal,56,RU,1552233570,1.84,7.63,65.95,111.51,64
Luganville,92,VU,1552233571,79.24,4.34,-15.51,167.18,100
Saskylakh,48,RU,1552233571,-9.78,11.05,71.97,114.09,68
Requena,0,ES,1552233545,77,9.17,39.49,-1.1,33
Port Hawkesbury,1,CA,1552233533,30.99,11.41,45.62,-61.36,57
Rokytne,68,UA,1552233572,41.48,19.22,51.27,27.23,79
Kermanshah,75,IR,1552230000,53.6,5.91,34.32,47.07,32
Havoysund,20,NO,1552233000,21.2,5.82,71,24.66,85
Portland,1,US,1552233373,36,6.93,45.52,-122.67,64
Stephenville,90,US,1552233371,57,10.29,32.22,-98.2,57
Georgetown,75,GY,1552230000,87.8,16.11,6.8,-58.16,70
Voi,24,KE,1552233573,86.89,8.86,-3.4,38.57,27
Ouesso,0,CG,1552233573,90.22,2.26,1.61,16.05,55
Ranau,75,MY,1552233017,78.8,4.7,5.95,116.67,88
Jaleswar,32,IN,1552233574,80.86,9.93,21.8,87.22,70
Carnarvon,0,ZA,1552233620,76.63,18.1,-30.97,22.13,19
San Patricio,12,PY,1552233620,77.62,5.61,-26.98,-56.83,73
Ferrol,75,ES,1552233606,57.99,6.93,43.48,-8.23,76
Saldanha,8,PT,1552233621,65.56,9.08,41.42,-6.55,48
Awjilah,0,LY,1552233621,80.18,6.73,29.14,21.3,27
Karpathos,20,GR,1552231200,64.4,11.41,35.51,27.21,68
Lavrentiya,80,RU,1552233622,22.4,38.72,65.58,-170.99,98
Caravelas,0,BR,1552233622,83.83,10.27,-17.73,-39.27,100
Souillac,20,FR,1552233610,57.2,18.34,45.6,-0.6,50
North Myrtle Beach,20,US,1552233615,80.01,13.87,33.83,-78.68,82
Sorland,20,NO,1552233000,32,11.41,67.67,12.69,100
Tobolsk,88,RU,1552233623,33.38,11.43,58.2,68.25,92
Sitka,12,US,1552233623,35.63,6.24,37.17,-99.65,60
Kalmunai,0,LK,1552233624,75.28,5.5,7.42,81.82,95
Tiksi,0,RU,1552233624,-28.27,2.77,71.64,128.87,0
Magnolia,1,US,1552233177,57.99,4.7,33.27,-93.24,66
Marzuq,0,YE,1552233625,74.51,4.83,14.4,46.47,30
Chokurdakh,76,RU,1552233625,-7.62,3.11,70.62,147.9,61
Vila,20,IT,1552233624,66.99,3.36,45.18,8.4,52
Bonthe,0,SL,1552233626,88.28,5.39,7.53,-12.5,71
Omsukchan,68,RU,1552233626,-8.2,2.71,62.53,155.8,71
La Ronge,5,CA,1552230000,-7.61,2.48,55.1,-105.3,76
Bathsheba,40,BB,1552230000,84.2,23.04,13.22,-59.52,62
Pevek,0,RU,1552233627,-19.95,2.71,69.7,170.27,85
Cabedelo,40,BR,1552230000,87.8,11.41,-6.97,-34.84,62
Carballo,75,ES,1552233606,59,6.93,43.21,-8.69,76
Jamsa,75,FI,1552233451,26.01,5.82,61.86,25.19,73
Zambezi,48,ZM,1552233628,86.3,1.21,-13.55,23.12,52
Sikeston,1,US,1552233300,46.99,4.7,36.88,-89.59,65
Tiznit,0,MA,1552233629,72.13,5.79,29.7,-9.73,53
Victoria Falls,20,ZW,1552233629,87.43,3.27,-17.93,25.84,43
Xapuri,75,BR,1552230000,77,9.17,-10.65,-68.5,88
Lugazi,20,UG,1552231800,78.8,11.41,0.37,32.94,69
Tikrit,44,IQ,1552233632,63.71,5.35,34.62,43.68,29
Rawson,0,AR,1552233633,82.43,13.96,-43.3,-65.11,23
Inta,88,RU,1552233633,29.78,6.4,66.04,60.13,90
Yantal,76,RU,1552233633,16.15,6.8,56.85,105.25,59
Margate,40,AU,1552233617,57.2,3.36,-43.03,147.26,76
Tynda,32,RU,1552233634,8.32,2.48,55.15,124.74,67
Meadow Lake,20,CA,1552230000,-13.01,4,54.13,-108.44,75
Cherskiy,56,RU,1552233634,-7.53,1.59,68.75,161.3,60
Liuhe,76,CN,1552233634,27.98,2.21,42.28,125.73,75
Mitsamiouli,75,KM,1552230000,82.4,16.11,-11.38,43.28,88
Verkhnyaya Inta,88,RU,1552233635,27.35,4.34,65.99,60.32,89
Tucano,0,BR,1552233472,92.33,6.02,-10.96,-38.79,42
Juquitiba,75,BR,1552230000,82.4,10.29,-23.93,-47.07,65
Omura,32,JP,1552233355,55,27,32.92,129.95,87
Thai Binh,90,VN,1552230000,68,5.82,20.45,106.33,82
Arlit,12,NE,1552233681,90.31,4.56,18.74,7.39,32
Hamilton,20,BM,1552233217,68,9.17,32.3,-64.78,60
Qaqortoq,0,GL,1552229400,30.2,3.36,60.72,-46.03,54
Villa Literno,75,IT,1552233664,60.01,9.17,41.01,14.08,82
Mahebourg,40,MU,1552233548,78.8,3.36,-20.41,57.7,78
Deputatskiy,48,RU,1552233682,-15.27,2.77,69.3,139.9,63
Geraldton,90,CA,1552230000,24.8,8.05,49.72,-86.95,53
Nuuk,56,GL,1552229400,23,14.99,64.17,-51.74,79
Watrous,0,CA,1552233682,-7.39,3.04,51.67,-105.46,43
Cangzhou,92,CN,1552233683,43.06,13.44,38.3,116.85,100
Alofi,56,NU,1552230000,75.2,4.7,-19.06,-169.92,94
Fairbanks,1,US,1552233520,37.4,6.93,64.84,-147.72,47
Jinchang,8,CN,1552233683,15.83,3.22,38.52,102.19,66
Lawrenceville,90,US,1552233625,62.01,4.7,33.96,-83.99,87
Tura,0,IN,1552233683,63.49,1.54,25.52,90.21,77
Itaituba,40,BR,1552230000,87.8,3.38,-4.26,-55.99,66
Flinders,64,AU,1552233628,79,5.12,-34.58,150.85,88
Sur,0,OM,1552233684,69.38,16.31,22.57,59.53,98
Oranjestad,20,AW,1552230000,86,26.4,12.52,-70.03,62
Chuy,0,UY,1552233688,72.35,15.97,-33.69,-53.46,82
Formosa do Rio Preto,24,BR,1552233688,87.38,5.23,-11.04,-45.19,68
Porto Novo,75,BR,1552230000,82.4,5.82,-23.68,-45.44,65
Lauria,48,IT,1552233548,60.01,8.99,40.05,15.84,49
Dongsheng,12,CN,1552233689,45.58,3.89,29.72,112.52,78
Turukhansk,80,RU,1552233689,16.46,21.05,65.8,87.96,80
Malindi,75,KE,1552230000,84.2,18.34,-3.22,40.12,70
Hovd,40,NO,1552233672,33.01,4.7,63.83,10.7,58
New Norfolk,40,AU,1552233676,57.2,3.36,-42.78,147.06,76
Oksfjord,20,NO,1552233654,18,6.93,70.24,22.35,72
Slave Lake,1,CA,1552230000,3.2,5.82,55.28,-114.77,91
Takoradi,12,GH,1552233690,85.58,8.93,4.89,-1.75,91
Hasaki,75,JP,1552232975,55.4,10.29,35.73,140.83,93
Kavaratti,0,IN,1552233691,82.84,5.23,10.57,72.64,100
Pisco,0,PE,1552230000,71.6,6.93,-13.71,-76.2,30
Husavik,44,CA,1552233606,12,8.01,50.56,-96.99,89
Mishkino,0,RU,1552230000,33.8,11.18,56.22,46.62,80
Vredendal,80,ZA,1552233692,64.75,4.38,-31.68,18.49,84
Nong Chik,44,TH,1552233695,76.9,2.89,6.84,101.18,83
San Quintin,8,PH,1552233695,64.03,1.99,17.54,120.52,82
Valkeala,0,FI,1552233430,23,6.93,60.94,26.8,73
Dingle,80,PH,1552233696,75.95,4.5,11,122.67,88
Mackay,5,CA,1552230000,6.8,4.7,53.65,-115.58,77
Nanakuli,1,US,1552233719,73.4,6.93,21.39,-158.15,68
Kopavogur,0,IS,1552233605,35.6,5.82,64.11,-21.91,64
Payson,75,US,1552233484,36,2.37,40.04,-111.73,100
Prabumulih,76,ID,1552233740,75.55,4.38,-3.5,104.19,83
Polunochnoye,8,RU,1552233741,27.98,10.87,60.87,60.43,70
Campohermoso,0,ES,1552233315,64.4,6.93,36.94,-2.13,68
Codrington,24,AU,1552233513,78.8,5.82,-28.95,153.24,88
Kon Tum,20,VN,1552233741,72.31,2.04,14.36,108,69
Sept-Iles,75,CA,1552230000,19.4,10.29,50.2,-66.38,62
Cap Malheureux,40,MU,1552233548,78.8,3.36,-19.98,57.61,78
Mandalgovi,0,MN,1552233742,20.06,9.04,45.76,106.27,59
Nenjiang,20,CN,1552233742,29.47,11.27,49.17,125.23,40
Khatanga,56,RU,1552233742,-6.9,8.93,71.98,102.47,59
Cabudare,0,VE,1552233743,81.49,2.89,10.02,-69.27,60
Rio Grande,90,BR,1552230000,75.2,16.11,-32.03,-52.1,50
Ust-Tsilma,88,RU,1552233743,30.95,7.58,65.44,52.15,83
Araxa,0,BR,1552233599,84.41,9.04,-19.59,-46.94,67
La Seyne-sur-Mer,0,FR,1552233573,71.01,19.46,43.1,5.88,40
Derzhavinsk,32,KZ,1552233744,21.46,11.77,51.1,66.31,84
Mehamn,40,NO,1552233000,21.2,6.93,71.03,27.85,72
Katsuura,75,JP,1552233284,53.01,8.05,33.93,134.5,93
Nyagan,12,RU,1552233695,31.31,8.37,62.14,65.43,85
Kamaishi,56,JP,1552233744,37.57,7.07,39.28,141.86,81
Manaus,75,BR,1552230000,75.2,10.29,-3.13,-59.98,88
Lata,0,IN,1552233745,35.45,0.81,30.78,78.62,100
Khash,0,IR,1552233745,45.08,10.42,28.22,61.21,49
Itaocara,0,BR,1552233725,93.91,5.57,-21.67,-42.08,47
Jorpeland,0,NO,1552233723,39.2,6.93,59.02,6.04,44
Kuryk,8,KZ,1552233746,50.48,16.64,43.18,51.68,62
Bulungu,8,CD,1552233746,92.2,4.27,-4.54,18.6,62
Palana,44,RU,1552233746,-0.33,1.03,59.08,159.95,62
Severo-Kurilsk,48,RU,1552233747,24.65,18.54,50.68,156.12,100
Dembi Dolo,48,ET,1552233747,87.52,3.78,8.53,34.8,27
San Ramon,40,NI,1552233668,70,18.34,12.92,-85.84,73
Marsa Matruh,0,EG,1552230000,66.2,8.05,31.35,27.25,37
Vavuniya,0,LK,1552233748,78.56,9.26,8.76,80.5,64
Gimbi,56,ET,1552233748,72.22,0.36,8.81,37.79,31
Los Llanos de Aridane,20,ES,1552233606,69.8,13.87,28.66,-17.92,64
Iqaluit,20,CA,1552233168,-11.01,3.22,63.75,-68.52,69
Cabanbanan,20,PH,1552233749,75.68,2.55,10.18,122.9,83
Norman Wells,20,CA,1552230000,-5.81,2.24,65.28,-126.83,83
Clyde River,1,CA,1552230000,-18.41,4.7,70.47,-68.59,75
Inongo,12,CD,1552233750,85.54,3.83,-1.93,18.29,68
Muravlenko,92,RU,1552233750,26.59,15.3,63.79,74.5,90
Caorle,20,IT,1552233733,57,5.82,45.6,12.88,71
Riyadh,0,SA,1552233600,66.2,3.36,24.63,46.72,15
Maniitsoq,20,GL,1552233800,11.78,6.8,65.42,-52.9,92
Srednekolymsk,64,RU,1552233800,-5.05,2.21,67.46,153.71,67
Walvis Bay,0,NA,1552233781,75.2,13.87,-22.95,14.51,44
Qaanaaq,48,GL,1552233800,-8.47,4.23,77.48,-69.36,93
Verkhnevilyuysk,36,RU,1552233801,6.97,3.11,63.45,120.31,76
Rome,75,IT,1552233632,59,11.41,41.89,12.48,76
Duekoue,12,CI,1552233801,92.51,4.27,6.74,-7.35,50
Saint-Francois,0,FR,1552233693,59,14.99,46.42,3.91,51
Podgornoye,64,RU,1552233802,24.61,11.16,57.79,82.64,61
Saint-Pierre,75,FR,1552233726,55.99,29.97,48.95,4.24,61
Byron Bay,68,AU,1552233625,78.8,12.75,-28.65,153.62,88
Ilulissat,75,GL,1552229400,12.2,11.41,69.22,-51.1,78
Kaitangata,0,NZ,1552233803,55.66,16.08,-46.28,169.85,77
Cukai,24,MY,1552230000,78.8,2.48,4.25,103.42,94
Sheregesh,0,RU,1552233807,7.73,2.21,52.93,87.98,70
Kargat,48,RU,1552233807,16.87,13.4,55.19,80.28,80
Makakilo City,1,US,1552233333,73.4,6.93,21.35,-158.09,68
Birao,0,CF,1552233807,96.65,7.92,10.3,22.78,15
Kawalu,68,ID,1552233807,65.92,1.81,-7.38,108.21,95
Klaksvik,56,FO,1552233000,35.6,3.36,62.23,-6.59,97
Socorro,12,PH,1552233618,70,2.21,13.06,121.41,89
Minsk,75,BY,1552230000,37.4,8.95,53.9,27.56,86
Beloha,8,MG,1552233809,83.78,17.92,-25.17,45.06,44
Ayagoz,76,KZ,1552233809,22.36,1.48,47.96,80.43,73
Benoy,0,RU,1552230000,51.8,2.24,43.06,46.02,53
Bayanday,0,RU,1552233809,10.43,6.06,53.07,105.52,67
Cayenne,100,GF,1552230000,84.2,17.22,4.94,-52.33,74
Ewo,32,CG,1552233810,84.82,3.83,-0.88,14.81,72
Cedral,0,MX,1552233810,57.91,3.22,23.82,-100.72,42
Half Moon Bay,40,US,1552233764,48.99,6.93,37.46,-122.43,87
Vila Franca do Campo,75,PT,1552231800,64.4,9.17,37.72,-25.43,82
Itacoatiara,56,BR,1552233623,85.18,6.4,-3.14,-58.44,73
Palauig,0,PH,1552233811,71.36,3.38,15.44,119.9,100
Pacifica,40,US,1552233802,48.99,6.93,37.61,-122.49,87
Kloulklubed,75,PW,1552229640,77,4.7,7.04,134.26,88
Male,92,UA,1552233812,38.65,14.63,50.74,33.7,94
Dong Xoai,24,VN,1552233812,77.66,6.8,11.53,106.92,67
Samarai,92,PG,1552233813,77.93,5.01,-10.62,150.67,100
Yerbogachen,64,RU,1552233813,12.46,7.52,61.28,108.01,59
Ust-Ilimsk,56,RU,1552233813,17.81,6.8,57.96,102.73,56
Acajutla,0,SV,1552233691,77,4,13.59,-89.83,73
Port Hedland,0,AU,1552230000,84.2,3.36,-20.31,118.58,79
Port Blair,0,IN,1552233814,83.06,12.06,11.67,92.75,99
Straumen,40,NO,1552233784,30,4.7,63.87,11.3,58
Muros,75,ES,1552233812,59,4.7,42.77,-9.06,93
Roald,40,NO,1552233687,35.6,10.29,62.58,6.12,69
Cabo San Lucas,5,MX,1552233682,71.01,3.36,22.89,-109.91,73
Salalah,0,OM,1552233000,78.8,3.36,17.01,54.1,57
Atbasar,76,KZ,1552233860,20.47,11.32,51.81,68.36,84
Loma Bonita,0,MX,1552232795,79,4.38,18.11,-95.88,83
Aras,48,YE,1552233861,68.03,3.33,14.28,44.38,35
Pangai,76,TO,1552233861,82.3,14.34,-19.8,-174.35,95
Santa Isabel do Rio Negro,80,BR,1552233676,79.73,2.55,-0.41,-65.02,88
Great Falls,1,US,1552233727,18,9.17,47.5,-111.29,72
Axim,0,GH,1552233862,83.56,9.93,4.87,-2.24,96
Maningrida,88,AU,1552233862,78.25,7.02,-12.05,134.23,97
Mount Gambier,90,AU,1552230720,59,6.93,-37.83,140.78,100
Minab,0,IR,1552231800,69.8,18.34,27.15,57.07,46
Guerrero Negro,92,MX,1552233866,53.9,7.85,27.97,-114.04,98
Changji,0,CN,1552233866,43.87,3.56,32.07,116.17,79
Ahipara,76,NZ,1552233802,57,4.56,-35.17,173.16,100
Yabrud,0,SY,1552233600,59,17.22,33.97,36.66,38
Formosa,90,AR,1552230000,73.4,9.17,-26.19,-58.17,78
Tucuman,0,PE,1552233867,72.35,3.78,-17.17,-70.89,70
Salinopolis,88,BR,1552233867,76.4,1.1,-0.61,-47.36,100
Kokopo,92,PG,1552233868,75.37,6.51,-4.34,152.27,100
Lincoln,1,US,1552233603,30,11.41,40.8,-96.67,68
Nizwa,0,OM,1552233868,65.78,7.92,22.93,57.53,11
Winston,20,GB,1552233960,50,17.22,52.21,1.19,96
Abrau-Dyurso,20,RU,1552230000,50,22.37,44.7,37.6,87
Nyurba,8,RU,1552233869,8.05,4.9,63.29,118.35,65
Lensk,56,RU,1552233869,12.41,6.85,60.71,114.91,64
Gat,0,SN,1552231800,93.2,12.75,14.69,-16.54,24
Sao Felix do Xingu,12,BR,1552233869,85.36,2.77,-6.64,-51.99,75
Velyka Mykhaylivka,0,UA,1552233870,51.97,19.55,47.08,29.85,39
Kang,20,BW,1552233870,87.61,7.29,-23.67,22.79,31
Southbridge,90,US,1552233847,34,8.05,42.08,-72.03,87
Ventspils,90,LV,1552231200,32,9.17,57.39,21.56,100
Llanes,88,ES,1552233714,54,4,43.42,-4.75,99
Andra,36,RU,1552233871,31.54,8.93,62.52,65.89,85
Kutum,0,SD,1552233871,79.73,9.53,14.2,24.66,18
Villamontes,44,BO,1552233871,67.18,3.49,-21.26,-63.47,78
Dunmore East,44,IE,1552233714,43,3,52.15,-6.99,72
Sioux Lookout,90,CA,1552230360,26.6,10.29,50.1,-91.92,92
Port Macquarie,90,AU,1552233845,73.99,2.24,-31.43,152.91,100
Vestmanna,80,FO,1552233000,35.6,3.36,62.16,-7.17,100
Dawei,0,MM,1552233873,72.31,2.48,14.07,98.19,73
Tigil,44,RU,1552233920,5.3,3.56,57.8,158.67,57
Dunhua,56,CN,1552233920,25.96,3.89,43.37,128.23,79
Leningradskiy,44,RU,1552233920,-10.45,4.23,69.38,178.42,70
